OBJECTID,LANDUSECODE,LANDUSEDESC,LASTUPDATE,LASTEDITOR,DENSITY,FAR,HISTORY,ACRES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,UNITCOUNT,SHAPE_Length,SHAPE_Area
2010,HDC,High-Density Commercial,,, , , ,4.63084991,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{ADFE27C1-4C1A-43E3-A49E-AAF1A23F973F},0,1913.18116782049,201719.01507213
2011,HDR,High-Density Residential,,, , , ,16.11658251,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{3112B44C-BAEA-4F3B-8227-DCCFAB628FDA},393.8,3662.71515301349,702035.526066329
2012,LDC,Low-Density Commercial,,, , , ,3.48579825,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:47,{1CE8106B-824F-4E55-A349-D94B3B51D69A},0,2053.5495400427,151840.76439278
2013,OS,Open Space,,, , , ,24.481939,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{A98F8781-9D6F-45E7-A088-8C39EC908149},0,9322.02535717987,1066428.99717697
2014,SFR,Single-Family Residential,,, , , ,7.32214343,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{D1579FAF-4E93-4BE7-AF3A-52D2DD02935A},14.7,2838.36343714303,318951.292000134
2015,SFR,Single-Family Residential,,, , , ,77.83956448,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{0A5C618B-ADE4-491E-A4BF-46D7C4051355},155.7,7790.9005555128,3390677.86587404
2016,MDR,Medium-Density Residential,,, , , ,21.92496817,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{34C7AD3D-116C-484F-9178-C8BBED4E3C51},351.4,4708.73361874968,955047.793292951
2017,OS,Open Space,,, , ,OS,138.31714248,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{25C3FFD1-AC36-470D-B2CC-73733D57581E},0,11576.7339419279,6025070.6262159
2018,LDMU,Low-Density Mixed-Use,,, , ,LDC,5.00753478,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{9979CF80-EEFB-493B-9726-89A48CAC9004},0,1874.88253624093,218127.342592592
2019,LDC,Low-Density Commercial,,, , ,LDC,5.40651278,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{4B9A35D2-92F2-4BF7-A589-F6AB0352AFB8},0,2550.84172300497,235506.754541237
2020,O-I,Office/Institutional,,, , ,O-I,117.59752676,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{95186BD8-9335-49A9-862A-C3B4DCB5FE83},0,10163.7705128642,5122527.77568517
2021,LDC,Low-Density Commercial,,, , ,LDC,1.91620522,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{F3119B30-B33D-4DEA-97B7-CBFDCDF7BC96},0,1288.34873049996,83469.5655672386
2022,LDC,Low-Density Commercial,,, , ,LDC,12.50683534,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{2409D20F-C51B-4E48-B7AD-14CAD0CA24AD},0,3503.89749086947,544795.568085327
2023,LDC,Low-Density Commercial,,, , ,LDC,4.45936576,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{64939B01-0382-44A1-A75A-74CE44173990},0,2502.09302060235,194249.195650073
2024,LDC,Low-Density Commercial,,, , ,LDC,3.08717839,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:46,{80FA7C88-02DF-4070-BAB3-D7B23D4038F1},0,2095.3945259457,134476.952701249
2025,SFR,Single-Family Residential,,, , , ,1.50987319,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{860DD74A-246D-4E92-8687-51ADC0D49A1E},143.9,1050.07339780079,65769.8128994046
2026,OS,Open Space,,, , ,OS,48.75197237,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{AD59D13B-486E-4C6C-80AF-46104BB7074A},0,6226.86356917564,2123627.42170971
2027,MU,Mixed-Use,,,,,,6.13070393,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{671F4E0C-2856-4153-ACB3-4A89B06C581A},,2617.91827708947,267052.39480858
2028,MDR,Medium-Density Residential,,, , ,LDC,11.90422859,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:49,{A18DAB47-BD47-4A0B-8FB9-EE23E08C34AB},0,3075.08869543531,518546.123231545
2029,LDC,Low-Density Commercial,,, , ,LDC,1.99054564,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:44,{812025F7-ADB4-4F45-B7F4-1C6F47A59B3D},0,1168.21481813314,86707.8210686645
2030,O-I,Office/Institutional,,, , , ,7.24522232,GIS,2018/03/20 00:34:05,GIS,2020/07/23 18:48:51,{7979E505-004B-4CB9-B702-77D1CDE9D264},0,2307.4191741823,315600.621788469
